"","locname","latitude","longitude","NOAA_ID","NOAA_NAME","NEAR_Y","NEAR_X","NEAR_DIST"
"701","12148500",47.695657,-121.824006,"USC00458508","TOLT S FK RSVR",47.7,-121.6908,9.98065185278303
"702","12178100",48.655959,-121.238456,"USC00455840","NEWHALEM",48.6758,-121.2419,2.22066881858147
"703","12179900",48.604566,-121.399573,"USW00004223","DARRINGTON 21 NNE",48.5406,-121.4461,7.89358599976759
"704","12182500",48.526231,-121.415405,"USW00004223","DARRINGTON 21 NNE",48.5406,-121.4461,2.76784406592764
"705","12186000",48.16872,-121.470672,"USR0000WGOH","GOLD HILL WASHINGTON",48.2,-121.5,4.10186992064336
"706","12189500",48.424559,-121.568463,"USW00004223","DARRINGTON 21 NNE",48.5406,-121.4461,15.7426316424892
"707","12206900",48.88484,-122.13321,"USC00455876","NOOKSACK SALMON HATCY",48.8975,-122.1436,1.59959512513545
"708","12207850",48.788451,-122.022929,"USS0021A36S","MF Nooksack",48.82,-121.93,7.6567512898932
"709","12208000",48.779283,-122.106543,"USC00455876","NOOKSACK SALMON HATCY",48.8975,-122.1436,13.4219913622335
"710","12209490",48.6715,-122.1396,"USC00454454","LAKE WHATCOM",48.6833,-122.3,11.8497189544924
"711","12210000",48.677613,-122.166545,"USC00454454","LAKE WHATCOM",48.6833,-122.3,9.81829361675948
"712","12210900",48.83261,-122.33905,"USC00450564","BELLINGHAM 2 N",48.7833,-122.4833,11.9018255842054
"713","12323770",46.180301,-112.785949,"USC00248687","WARM SPRINGS CREEK",46.1833,-112.75,2.787669981219
"714","12334510",46.722427,-113.68315,"USC00241831","CLINTON 6 SE",46.7169,-113.6672,1.36238962647348
"715","12340000",46.89965,-113.756487,"USC00246685","POTOMAC",46.8767,-113.5625,14.9609643614778
"716","12352500",46.831868,-114.054,"USR0000MMIS","MISSOULA FTS MONTANA",46.85,-114.05,2.03901206153135
"717","12362500",48.356631,-114.037618,"USC00244328","HUNGRY HORSE DAM",48.3425,-114.0217,1.96282591510891
