STAID_edt,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,locname,NOAA_ID,NEAR_Y,NEAR_X,NEAR_DIST,NIDID,LONGITUDE,LATITUDE,RIVER,DISTANCE,PRIVATE_DA,DAM_TYPE,CORE,FOUNDATION,PURPOSES,YEAR_COMPL,YEAR_MODIF,DAM_LENGTH,DAM_HEIGHT,STRUCTURAL,HYDRAULIC_,NID_HEIGHT,MAX_DISCHA,MAX_STORAG,NORMAL_STO,NID_STORAG,SURFACE_AR,DRAINAGE_A,HAZARD,EAP,VOLUME,Distance_1,PstSplnCnt,pstRcrdCnt,pstP90,pstP90Cnt,pstP50,pstP10,pstP10Cnt,pstTmax,pstTmin,pstTmean,pstTmaxT,pstTminT,pstCoolRt,pstWarmRt,pstCffcntV,pstP25cnt,pstP75cnt,NOAA_TmaxT,NOAA_TminT,Lag_TmaxT,Lag_TminT,NOAARcrdCn,NOAASplnCn,Ref,Clim_Reg
STAID06089000,4889.7,47.525736,-111.511842,6089000,USW00024143,47.4733,-111.3822,11.35102484,MT03284,-111.517,47.4989,TR-SUN RIVER,9,N,RE, , ,P,1953, ,300,30,0,30,30,0,57,33,57,0,0,L,NR,0,3006.726322,366,10,18.32918739,0.166666667,8.826056209,-0.677074976,0,21.52097454,-0.026709549,8.826056209,199,52,-0.156294681,0.14354484,0.840163771,0.37431694,0.273224044,199,365,0,52,12,366,0,Northern Rockies
STAID06114700,7107.4,47.668315,-109.653244,6114700,USC00243459,47.6344,-109.8969,18.63667577,MT03421,-109.7073,47.6602,TR-JUDITH RIVER,0,N,RE, , ,P,1953, ,250,15,0,15,15,0,64,25,64,0,0,L,NR,0,3936.612909,366,6,20.74376561,0.139344262,10.20361878,-0.336528062,0,24.57913595,-0.092535918,10.20361878,198,365,-0.171254827,0.153165691,0.806039549,0.371584699,0.31147541,186,93,12,93,1,183,0,Northern Rockies
STAID06187950,261.2,44.868273,-110.165469,6187950,USC00488340,44.8833,-110.15,2.068268887,WY02527,-110.264777,44.837888,PRARIE DOG CREEK,2,N,RE,EK,S,DI,2009, ,350,17,17,15,17,228,133,104,133,14,0,L,NR,11500,8117.215957,362,4,10.17913248,0.171270718,4.78772082,-0.603690837,0,12.98007388,0.247428697,4.78772082,203,18,-0.098813088,0.076611557,0.878693856,0.372928177,0.259668508,NA,NA,NA,NA,NA,NA,1,Northern Rockies
STAID06191500,6783.6,45.11188,-110.794381,6191500,USC00244263,45.05,-110.8667,8.921107209,MT03343,-110.8303594,45.16783533,SLIP AND SLIDE CREEK,0,N,RE, , ,I,1952, ,100,8,0,8,8,200,63,8,63,0,8,L,NR,0,6763.297741,366,6,15.25387407,0.183060109,7.919408959,0.584943848,0.019125683,18.27967016,0.0982578,7.919408959,215,0,-0.138314564,0.100052021,0.722669276,0.31420765,0.270491803,NA,NA,NA,NA,NA,NA,1,Northern Rockies
STAID06195600,2187.6,45.738269,-110.479925,6195600,USW00024150,45.6983,-110.4408,5.383161398,MT03834,-110.442925,45.77792412,BULL RUN CREEK,18,N,RE, , ,I,1954, ,240,26,0,26,26,150,65,65,65,0,0,L,NR,0,5173.584247,366,6,15.62350468,0.158469945,7.690582718,-0.242339242,0,18.48798344,-0.091236444,7.690582718,198,365,-0.133099733,0.117019832,0.804892441,0.382513661,0.306010929,196,0,2,0,5,366,0,Northern Rockies
STAID06200000,1363.8,45.834106,-109.938798,6200000,USC00240780,45.8325,-109.9511,0.969681533,MT01415,-109.934435,45.84250722,TR-YELLOWSTONE RIVER,1,N,RE, , ,O,1959, ,3000,15,0,11,15,0,270,240,270,0,0,L,NR,0,986.3676897,366,7,14.95618067,0.174863388,9.804573156,4.652965642,0.057377049,17.88168918,2.784281498,9.804573156,204,301,-0.081940935,0.07871896,0.409994463,0.275956284,0.232240437,201,365,3,64,19,366,0,Northern Rockies
STAID06204070,172,45.254387,-109.699895,6204070,USC00245961,45.2436,-109.7311,2.721446101,MT83001,-109.7071,45.2518,WEST ROSEBUD CREEK,22,N,RE, , ,OR,1979, ,410,15,0,0,15,4800,475,470,475,49,52,L,NR,0,604.3543064,366,10,11.70823741,0.183060109,5.997809912,0.28738241,0,13.59293019,1.007300488,5.997809912,238,365,-0.117506181,0.076403624,0.742916218,0.387978142,0.286885246,201,365,37,0,19,366,0,Northern Rockies
STAID06214500,29548.8,45.799953,-108.467356,6214500,USC00240802,45.7717,-108.4811,3.317431854,MT02113,-108.3757,45.788,TR-YELLOWSTONE RIVER,2,N,RE, , ,P,1960, ,170,30,0,30,30,0,51,49,51,0,0,L,NR,0,6839.190972,365,4,19.53974759,0.178082192,9.08591193,-1.367923732,0,22.51726444,-0.122302012,9.08591193,216,70,-0.186552254,0.151101873,0.897782344,0.391780822,0.287671233,199,0,17,70,19,366,0,Northern Rockies
STAID06227600,5690.2,43.143847,-108.707895,6227600,USC00486470,43.2167,-108.7833,10.14922786,WY01381,-108.7559,43.1955,WYOMING CANAL,25,N,RE,ICK,SZ,I,1925, ,1300,64,64,55,64,500,36900,33700,36900,900,9,H,Y,199000,6809.076348,366,8,17.83041783,0.180327869,8.623567365,-0.583283101,0,19.68607159,-0.083508344,8.623567365,203,53,-0.157636445,0.128109068,0.833082562,0.346994536,0.327868852,NA,NA,NA,NA,NA,365,0,Northern Rockies
STAID06482020,11568.3,43.566919,-96.711161,6482020,USW00014944,43.5878,-96.7289,2.726345041,SD00698,-96.725,43.598333, ,0,N,PG,X,U,CS,1960, ,331,27,0,0,27,35000,1200,216,1200,0,0,S,NR,0,3643.816936,365,9,23.44122653,0.161643836,11.97013306,0.499039582,0,25.94389278,0.949651695,11.97013306,198,69,-0.183828331,0.194538153,0.747772958,0.37260274,0.336986301,198,0,0,69,12,366,0,Northern Rockies
