"","agency_cd","site_no","Date","UPSTREAM_Wtemp","UPSTREAM_Wtemp_cd","FLOATING_Wtemp","FLOATING_Wtemp_cd","Flow","Flow_cd"
"276","USGS","02292900",2015-02-02,19.3,"A",NA,NA,1280,"A"
"277","USGS","02292900",2015-02-03,19,"A",NA,NA,1120,"A"
"278","USGS","02292900",2015-02-04,19.1,"A",NA,NA,936,"A"
"279","USGS","02292900",2015-02-05,19.2,"A",NA,NA,580,"A"
"280","USGS","02292900",2015-02-06,19,"A",NA,NA,1850,"A"
"281","USGS","02292900",2015-02-07,19,"A",NA,NA,2220,"A"
"282","USGS","02292900",2015-02-08,19.1,"A",NA,NA,1950,"A"
"283","USGS","02292900",2015-02-09,19.2,"A",NA,NA,1320,"A"
"284","USGS","02292900",2015-02-10,19,"A",NA,NA,1120,"A"
"285","USGS","02292900",2015-02-11,18.9,"A",NA,NA,907,"A"
"286","USGS","02292900",2015-02-12,18.8,"A",NA,NA,543,"A"
"287","USGS","02292900",2015-02-13,18.8,"A",NA,NA,1470,"A"
"288","USGS","02292900",2015-02-14,18.5,"A",NA,NA,2130,"A"
"289","USGS","02292900",2015-02-15,18.8,"A",NA,NA,2010,"A"
"290","USGS","02292900",2015-02-16,19,"A",NA,NA,1400,"A"
"291","USGS","02292900",2015-02-17,19.4,"A",NA,NA,1020,"A"
"292","USGS","02292900",2015-02-18,19.4,"A",NA,NA,1660,"A"
"293","USGS","02292900",2015-02-19,18.7,"A",NA,NA,1100,"A"
"294","USGS","02292900",2015-02-20,18.2,"A",NA,NA,1810,"A"
"295","USGS","02292900",2015-02-21,18.1,"A",NA,NA,2440,"A"
"296","USGS","02292900",2015-02-22,18.8,"A",NA,NA,2140,"A"
"297","USGS","02292900",2015-02-23,19.4,"A",NA,NA,1660,"A"
"298","USGS","02292900",2015-02-24,20,"A",NA,NA,1170,"A"
"299","USGS","02292900",2015-02-25,20.4,"A",NA,NA,1040,"A"
"300","USGS","02292900",2015-02-26,20.3,"A",NA,NA,773,"A"
"301","USGS","02292900",2015-02-27,19.7,"A",NA,NA,2040,"A"
"302","USGS","02292900",2015-02-28,19.6,"A",NA,NA,2440,"A"
"303","USGS","02292900",2015-03-01,20.5,"A",NA,NA,2320,"A"
