"","agency_cd","site_no","Date","UPSTREAM_Wtemp","UPSTREAM_Wtemp_cd","FLOATING_Wtemp","FLOATING_Wtemp_cd"
"298","USGS","02292900",2015-02-24,20,"A",NA,NA
"299","USGS","02292900",2015-02-25,20.4,"A",NA,NA
"300","USGS","02292900",2015-02-26,20.3,"A",NA,NA
"301","USGS","02292900",2015-02-27,19.7,"A",NA,NA
"302","USGS","02292900",2015-02-28,19.6,"A",NA,NA
"303","USGS","02292900",2015-03-01,20.5,"A",NA,NA
"304","USGS","02292900",2015-03-02,20.9,"A",NA,NA
"305","USGS","02292900",2015-03-03,21,"A",NA,NA
"306","USGS","02292900",2015-03-04,21.7,"A",NA,NA
"307","USGS","02292900",2015-03-05,22.9,"A",NA,NA
"308","USGS","02292900",2015-03-06,23.4,"A",NA,NA
"309","USGS","02292900",2015-03-07,22.8,"A",NA,NA
"310","USGS","02292900",2015-03-08,22.7,"A",NA,NA
"311","USGS","02292900",2015-03-09,23.1,"A",NA,NA
"312","USGS","02292900",2015-03-10,23.7,"A",NA,NA
"313","USGS","02292900",2015-03-11,24.4,"A",NA,NA
"314","USGS","02292900",2015-03-12,25,"A",NA,NA
"315","USGS","02292900",2015-03-13,25,"A",NA,NA
"316","USGS","02292900",2015-03-14,25.1,"A",NA,NA
"317","USGS","02292900",2015-03-15,25.7,"A",NA,NA
"318","USGS","02292900",2015-03-16,25.9,"A",NA,NA
"319","USGS","02292900",2015-03-17,25.9,"A",NA,NA
"320","USGS","02292900",2015-03-18,25.8,"A",NA,NA
"321","USGS","02292900",2015-03-19,26.2,"A",NA,NA
"322","USGS","02292900",2015-03-20,26.3,"A",NA,NA
"323","USGS","02292900",2015-03-21,26.5,"A",NA,NA
"324","USGS","02292900",2015-03-22,26.7,"A",NA,NA
"325","USGS","02292900",2015-03-23,26.4,"A",NA,NA
"326","USGS","02292900",2015-03-24,26.7,"A",NA,NA
"327","USGS","02292900",2015-03-25,26.9,"A",NA,NA
"328","USGS","02292900",2015-03-26,27,"A",NA,NA
"329","USGS","02292900",2015-03-27,26.5,"A",NA,NA
"330","USGS","02292900",2015-03-28,25.8,"A",NA,NA
"331","USGS","02292900",2015-03-29,25.2,"A",NA,NA
"332","USGS","02292900",2015-03-30,25.2,"A",NA,NA
"333","USGS","02292900",2015-03-31,25.2,"A",NA,NA
"334","USGS","02292900",2015-04-01,25.1,"A",NA,NA
"335","USGS","02292900",2015-04-02,25.6,"A",NA,NA
"336","USGS","02292900",2015-04-03,26.1,"A",NA,NA
"337","USGS","02292900",2015-04-04,25.9,"A",NA,NA
"338","USGS","02292900",2015-04-05,25.7,"A",NA,NA
"339","USGS","02292900",2015-04-06,25.8,"A",NA,NA
"340","USGS","02292900",2015-04-07,25.6,"A",NA,NA
"341","USGS","02292900",2015-04-08,25.9,"A",NA,NA
"342","USGS","02292900",2015-04-09,26.1,"A",NA,NA
"343","USGS","02292900",2015-04-10,26.6,"A",NA,NA
"344","USGS","02292900",2015-04-11,27.1,"A",NA,NA
"345","USGS","02292900",2015-04-12,27.4,"A",NA,NA
"346","USGS","02292900",2015-04-13,27.5,"A",NA,NA
"347","USGS","02292900",2015-04-14,27.9,"A",NA,NA
"348","USGS","02292900",2015-04-15,28.7,"A",NA,NA
"349","USGS","02292900",2015-04-16,29.2,"A",NA,NA
"350","USGS","02292900",2015-04-17,28.8,"A",NA,NA
"351","USGS","02292900",2015-04-18,28.8,"A",NA,NA
"352","USGS","02292900",2015-04-19,29,"A",NA,NA
"353","USGS","02292900",2015-04-20,29.1,"A",NA,NA
"354","USGS","02292900",2015-04-21,29,"A",NA,NA
"355","USGS","02292900",2015-04-22,29.1,"A",NA,NA
"356","USGS","02292900",2015-04-23,28.9,"A",NA,NA
"357","USGS","02292900",2015-04-24,28.9,"A",NA,NA
"358","USGS","02292900",2015-04-25,29.2,"A",NA,NA
"359","USGS","02292900",2015-04-26,29.2,"A",NA,NA
"360","USGS","02292900",2015-04-27,29.4,"A",NA,NA
"361","USGS","02292900",2015-04-28,28.9,"A",NA,NA
"362","USGS","02292900",2015-04-29,28.9,"A",NA,NA
"363","USGS","02292900",2015-04-30,28.5,"A",NA,NA
"364","USGS","02292900",2015-05-01,28.3,"A",NA,NA
"365","USGS","02292900",2015-05-02,28,"A",NA,NA
"366","USGS","02292900",2015-05-03,27.7,"A",NA,NA
"367","USGS","02292900",2015-05-04,27.3,"A",NA,NA
"368","USGS","02292900",2015-05-05,26.9,"A",NA,NA
"369","USGS","02292900",2015-05-06,27.6,"A",NA,NA
"370","USGS","02292900",2015-05-07,27.6,"A",NA,NA
"371","USGS","02292900",2015-05-08,27.5,"A",NA,NA
"372","USGS","02292900",2015-05-09,28.1,"A",NA,NA
"373","USGS","02292900",2015-05-10,27.8,"A",NA,NA
"374","USGS","02292900",2015-05-11,27.8,"A",NA,NA
"375","USGS","02292900",2015-05-12,27.9,"A",NA,NA
"376","USGS","02292900",2015-05-13,28.4,"A",NA,NA
"377","USGS","02292900",2015-05-14,28.8,"A",NA,NA
"378","USGS","02292900",2015-05-15,28.6,"A",NA,NA
"379","USGS","02292900",2015-05-16,28.4,"A",NA,NA
"380","USGS","02292900",2015-05-17,28.6,"A",NA,NA
"381","USGS","02292900",2015-05-18,29.1,"A",NA,NA
"382","USGS","02292900",2015-05-19,30,"A",NA,NA
"383","USGS","02292900",2015-05-20,29.9,"A",NA,NA
"384","USGS","02292900",2015-05-21,29.6,"A",NA,NA
"385","USGS","02292900",2015-05-22,30,"A",NA,NA
"386","USGS","02292900",2015-05-23,30,"A",NA,NA
"387","USGS","02292900",2015-05-24,30.1,"A",NA,NA
"388","USGS","02292900",2015-05-25,30,"A",NA,NA
"389","USGS","02292900",2015-05-26,29.9,"A",NA,NA
"390","USGS","02292900",2015-05-27,30,"A",NA,NA
"391","USGS","02292900",2015-05-28,29.7,"A",NA,NA
